timestamp,level,message,uuid,temperature,humidity,version,actuator
2025-08-11T07:55:13.961Z,info,"Connecting to MQTT broker",,,,,
2025-08-11T07:55:14.284Z,success,"MQTT connected successfully",,,,,
2025-08-11T07:55:14.351Z,success,"Subscribed to topics: IDGS10-Pruebas-Sensores",,,,,
2025-08-11T07:57:16.386Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:16.387Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,39.6,88.9,,
2025-08-11T07:57:17.375Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:17.376Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,34.7,39.3,,
2025-08-11T07:57:18.376Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:18.376Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,22.6,57.2,,
2025-08-11T07:57:19.378Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:19.378Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:20.380Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:20.380Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,20.6,60.3,,
2025-08-11T07:57:21.381Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:21.381Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,23.8,63.3,,
2025-08-11T07:57:22.381Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:22.382Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,34.6,55.2,,
2025-08-11T07:57:23.382Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:23.383Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:24.381Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:24.382Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:25.382Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:25.383Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440003,25.4,72.2,,
2025-08-11T07:57:26.385Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:26.385Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:27.386Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:27.387Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:28.388Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:28.389Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,35.5,58.6,,
2025-08-11T07:57:29.387Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:29.388Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,25.3,44.3,,
2025-08-11T07:57:30.389Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:30.389Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:31.390Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:31.391Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,26.8,32.7,,
2025-08-11T07:57:32.391Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:32.391Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,34,35,,
2025-08-11T07:57:33.392Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:33.392Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:34.391Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:34.392Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,26.6,47.5,,
2025-08-11T07:57:35.393Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:35.394Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,29.4,31.9,,
2025-08-11T07:57:36.396Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:36.396Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:37.396Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:37.396Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:38.395Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:38.395Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,36.7,75.6,,
2025-08-11T07:57:39.397Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:39.398Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:40.399Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:40.399Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:41.400Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:41.400Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:42.400Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:42.400Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:43.403Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:43.404Z,warn,"Message validation failed",,,,,
2025-08-11T07:57:44.403Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:44.403Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,15.5,54.3,,
2025-08-11T07:57:45.403Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:57:45.404Z,warn,"Message validation failed",,,,,
2025-08-11T07:58:59.602Z,info,"Connecting to MQTT broker",,,,,
2025-08-11T07:58:59.889Z,success,"MQTT connected successfully",,,,,
2025-08-11T07:58:59.957Z,success,"Subscribed to topics: IDGS10-Pruebas-Sensores",,,,,
2025-08-11T07:59:11.788Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:59:11.789Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440003,25,47.8,,
2025-08-11T07:59:13.789Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:59:13.790Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,25.3,44.6,,
2025-08-11T07:59:15.792Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:59:15.793Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,29.3,39.9,,
2025-08-11T07:59:17.793Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:59:17.793Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,23.6,58,,
2025-08-11T07:59:19.795Z,info,"ðŸ“¨ Message received",,,,,
2025-08-11T07:59:19.795Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,34.3,66.1,,
2025-08-11T08:16:01.405Z,info,"Disconnecting IoT Parser",,,,,
2025-08-11T08:16:01.406Z,info,"IoT Parser disconnected",,,,,
2025-08-12T01:23:23.996Z,info,"Connecting to MQTT broker",,,,,
2025-08-12T01:23:24.594Z,success,"MQTT connected successfully",,,,,
2025-08-12T01:23:24.679Z,success,"Subscribed to topics: IDGS10-Pruebas-Sensores",,,,,
2025-08-12T01:25:09.882Z,error,"MQTT connection error",,,,,
2025-08-12T01:25:09.892Z,warn,"MQTT connection closed",,,,,
2025-08-12T01:25:14.905Z,info,"MQTT reconnection attempt 1",,,,,
2025-08-12T01:25:15.363Z,success,"MQTT connected successfully",,,,,
2025-08-12T01:25:15.366Z,success,"Subscribed to topics: IDGS10-Pruebas-Sensores",,,,,
2025-08-12T01:27:07.153Z,info,"Disconnecting IoT Parser",,,,,
2025-08-12T01:27:07.155Z,info,"IoT Parser disconnected",,,,,
2025-08-12T02:25:50.115Z,info,"Connecting to MQTT broker",,,,,
2025-08-12T02:25:50.793Z,success,"MQTT connected successfully",,,,,
2025-08-12T02:25:50.888Z,success,"Subscribed to topics: IDGS10-Pruebas-Sensores",,,,,
2025-08-12T02:26:03.704Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:03.713Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,28.6,78.7,,
2025-08-12T02:26:04.719Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:04.726Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,34.3,85.2,,
2025-08-12T02:26:05.730Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:05.736Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440003,24.7,59.8,,
2025-08-12T02:26:06.747Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:06.755Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440003,19.8,71.9,,
2025-08-12T02:26:07.761Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:07.768Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,33.3,57.7,,
2025-08-12T02:26:08.769Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:08.776Z,warn,"Message validation failed",,,,,
2025-08-12T02:26:09.782Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:09.789Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,22.8,49.7,,
2025-08-12T02:26:10.787Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:10.790Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,34.8,45,,
2025-08-12T02:26:11.802Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:11.809Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,23.5,40.5,,
2025-08-12T02:26:12.810Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:12.814Z,warn,"Message validation failed",,,,,
2025-08-12T02:26:13.822Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:13.827Z,warn,"Message validation failed",,,,,
2025-08-12T02:26:14.832Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:14.838Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,17.7,62,,
2025-08-12T02:26:15.845Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:15.859Z,warn,"Message validation failed",,,,,
2025-08-12T02:26:16.855Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:16.860Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,26.7,64.7,,
2025-08-12T02:26:17.866Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:17.872Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,32.4,20.5,,
2025-08-12T02:26:18.875Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:18.881Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440003,24.2,69.7,,
2025-08-12T02:26:19.894Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:19.899Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440003,25.2,52.8,,
2025-08-12T02:26:20.901Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:20.905Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,34.1,89.3,,
2025-08-12T02:26:21.910Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:21.913Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,29.5,45,,
2025-08-12T02:26:22.925Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:22.930Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,27.3,47.4,,
2025-08-12T02:26:23.939Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:23.945Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440003,24.8,67.5,,
2025-08-12T02:26:24.951Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:24.962Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,18.3,46.2,,
2025-08-12T02:26:25.957Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:25.964Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,30.1,44.2,,
2025-08-12T02:26:26.970Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:26.977Z,warn,"Message validation failed",,,,,
2025-08-12T02:26:27.986Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:27.988Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440001,27.1,40.2,,
2025-08-12T02:26:28.996Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:29.003Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440003,18.5,51.5,,
2025-08-12T02:26:30.014Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:30.020Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,37.5,77.9,,
2025-08-12T02:26:31.022Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:31.028Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440004,38.8,54.4,,
2025-08-12T02:26:32.034Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:32.038Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,33.1,61,,
2025-08-12T02:26:33.042Z,info,"ðŸ“¨ Message received",,,,,
2025-08-12T02:26:33.048Z,success,"Message validated successfully",550e8400-e29b-41d4-a716-446655440002,25.8,45.7,,
2025-08-12T02:34:50.766Z,info,"Disconnecting IoT Parser",,,,,
2025-08-12T02:34:50.775Z,info,"IoT Parser disconnected",,,,,
2025-08-12T02:44:03.462Z,info,"Connecting to MQTT broker",,,,,
2025-08-12T02:44:05.162Z,success,"MQTT connected successfully",,,,,
2025-08-12T02:44:05.341Z,success,"Subscribed to topics: IDGS10-Pruebas-Sensores",,,,,
2025-08-12T02:46:14.904Z,info,"Disconnecting IoT Parser",,,,,
2025-08-12T02:46:14.908Z,info,"IoT Parser disconnected",,,,,
2025-08-12T03:00:10.754Z,info,"Connecting to MQTT broker",,,,,
2025-08-12T03:00:11.457Z,success,"MQTT connected successfully",,,,,
2025-08-12T03:00:11.548Z,success,"Subscribed to topics: IDGS10-Pruebas-Sensores",,,,,
